,case_number,date_occurred,time_occurred,location_desc,date_reported,time_reported,type,disposition
42,2022-00004020,01/20/22,13:33,University Blvd,01/20/22,13:33,Assist Other Agency / Other,CBE
44,2022-00004144,01/20/22,21:00,8100 block of Boteler Ln,01/20/22,23:16,CDS Violation,CBE
46,2022-00004171,01/21/22,01:37,"4, Ritchie Coliseum at 7675 Baltimore Ave",01/21/22,01:37,Suspicious Person/Auto,Arrest
48,2022-00004277,01/21/22,09:34,"48, Francis Scott, Francis Scott Key, Francis Scott Key Hall, FS Key Hall, FSK at 4282 Chapel Ln",01/21/22,09:34,Damage to State Property,CBE
50,2022-00004332,01/21/22,12:54,3900 block of Denton Service Ln,01/21/22,12:54,Disorderly Conduct,CBE
52,2022-00004704,01/22/22,18:31,Lot 2a,01/22/22,18:31,CDS Violation,CBE
54,2022-00004711,01/22/22,20:32,4800 block of College Ave,01/22/22,20:32,Injured/Sick Person,CBE
56,2022-00004775,01/22/22,23:47,College Ave,01/22/22,23:47,Injured/Sick Person,CBE
58,2022-00004806,01/23/22,01:18,7300 block of Hopkins Ave,01/23/22,01:18,Injured/Sick Person,CBE
60,2022-00004807,01/23/22,01:19,University Blvd,01/23/22,01:19,DWI/DUI,Arrest
62,2022-00004809,01/23/22,01:30,8100 block of Boteler Ln,01/23/22,01:36,Injured/Sick Person,CBE
64,2022-00004820,01/23/22,00:00,UMGC Inn & Conference Center at 345 Ehrensberger Dr,01/23/22,03:24,Suspicious Activity,CBE
66,2022-00004881,01/22/22,19:15,3900 block of Denton Service Ln,01/23/22,10:37,Burglary,Summons Issued
68,2022-00005097,01/24/22,01:09,7000 block of Preinkert Dr,01/24/22,01:09,Assault,Active/Pending
70,2022-00005251,12/18/21,15:00,Hagerstown Hall at 8075 Hagerstown Dr,01/24/22,13:53,Theft,Active/Pending
72,2022-00005260,01/24/22,15:48,"Brendan Iribe Center, Iribe Center at 8125 Paint Branch Dr",01/24/22,15:48,Injured/Sick Person,CBE
74,2022-00005286,01/24/22,18:42,"17, Cecil, Cecil Hall at 7549 Calvert Service Ln",01/24/22,18:42,Injured/Sick Person,CBE
76,2022-00005356,01/25/22,06:26,"76, Symons Hall at 7998 Regents Dr",01/25/22,06:26,Injured/Sick Person,CBE
78,2022-00005372,01/25/22,08:00,8000 block of Regents Dr,01/25/22,08:16,Injured/Sick Person,CBE
80,2022-00005387,01/24/22,21:00,Campus Dr,01/25/22,10:37,Injured/Sick Person,CBE
82,2022-00005432,01/25/22,11:00,4400 block of Rossborough Ln,01/25/22,15:06,Theft,Arrest
84,2022-00005538,01/26/22,00:10,"Commons 5, SCC 5, South Campus Commons 5 at 6903 Preinkert Dr",01/26/22,00:32,Assist Other Agency / Domestic,CBE
86,2022-00005599,01/26/22,11:15,7000 block of Preinkert Dr,01/26/22,11:16,Injured/Sick Person,CBE
88,2022-00005631,01/10/22,12:00,University Courtyard #4 at 8400 Boteler Ln,01/26/22,13:25,Theft,Active/Pending
90,2022-00005780,01/25/22,15:00,"Elkins, Elkins Building, Systems Office, UM Systems Office at 3300 Metzerott Rd",01/27/22,09:35,Telephone/EMail Misuse,Investigation Pending
92,2022-00005817,01/27/22,13:20,"84, Kirwan Hall, Mathematics, Mathematics Building, William E. Kirwan Hall, William Kirwan Hall at 4176 Campus Dr",01/27/22,13:20,Injured/Sick Person,CBE
94,2022-00005832,01/25/22,14:48,Graduate Hills #287 at 3410 Tulane Dr,01/27/22,14:47,Other Incident,CBE
96,2022-00006085,12/10/21,09:00,8200 block of Paint Branch Dr,01/28/22,11:46,Theft,Investigation Pending
98,2022-00006086,01/26/22,17:00,Hagerstown Hall at 8075 Hagerstown Dr,01/28/22,11:51,Theft,Investigation Pending
100,2022-00006093,01/28/22,12:24,University Club at 4800 Berwyn House Rd,01/28/22,12:24,Injured/Sick Person,CBE
102,2022-00006114,01/01/22,07:00,Cumberland Hall at 4250 Farm Dr,01/28/22,14:29,Vandalism,Investigation Pending
104,2022-00006128,01/28/22,16:22,7500 block of Columbia Ave,01/28/22,16:22,Lost Property,CBE
106,2022-00006258,01/29/22,00:23,4200 block of Farm Dr,01/29/22,00:23,CDS Violation,CBE
108,2022-00006262,01/29/22,00:49,3900 block of Campus Dr,01/29/22,00:49,Injured/Sick Person,CBE
110,2022-00006385,01/28/22,21:00,7500 block of Regents Dr,01/29/22,11:29,Vandalism,Investigation Pending
112,2022-00006408,01/28/22,12:00,4300 block of Knox Rd,01/29/22,13:53,Theft,Investigation Pending
114,2022-00006522,01/29/22,22:00,"Commons 4, SCC 4, South Campus Commons 4 at 4310 Knox Rd",01/29/22,22:14,Vandalism,CBE
116,2022-00006523,01/29/22,00:00,"Commons 1, SCC 1, South Campus Commons 1 at 4250 Lehigh Rd",01/29/22,22:12,Vandalism,Investigation Pending
118,2022-00006566,01/30/22,00:18,"Commons 7, SCC 7, South Campus Commons 7 at 6801 Preinkert Dr",01/30/22,00:18,Injured/Sick Person,CBE
120,2022-00006594,01/30/22,01:51,Baltimore Ave,01/30/22,01:51,DWI/DUI,Arrest
122,2022-00006617,01/30/22,05:29,3900 block of Denton Service Ln,01/30/22,05:29,Injured/Sick Person,CBE
124,2022-00006852,01/31/22,02:14,University Blvd,01/31/22,02:14,Assist Other Agency / DUI/DWI,CBE
126,2022-00006999,01/31/22,15:02,Metzerott Rd,01/31/22,15:02,DWI/DUI,Arrest
128,2022-00007035,01/31/22,18:54,3800 block of Stadium Dr,01/31/22,18:54,Injured/Sick Person,CBE
130,2022-00007037,01/31/22,19:17,"Recreation Artificial Turf Field, Turf Field, Turf Fields",01/31/22,19:17,Injured/Sick Person,CBE
132,2022-00007057,01/30/22,22:30,4200 block of Farm Dr,01/31/22,20:53,Other Incident,CBE
134,2022-00007071,01/31/22,21:46,"98, Centreville, Centreville Hall at 4243 Valley Dr",01/31/22,22:46,Injured/Sick Person,CBE
0,2022-00007183,01/28/22,08:00,"26, South Campus Dining Hall at 7093 Preinkert Dr",02/01/22,11:04,Fraud,Active/Pending
2,2022-00007290,02/01/22,23:25,3900 block of Denton Service Ln,02/01/22,23:25,Alcohol Violation,CBE
4,2022-00007373,01/26/22,10:48,8000 block of La Plata Dr,02/02/22,09:58,Telephone/EMail Misuse,CBE
6,2022-00007383,02/02/22,11:29,3400 block of Tulane Dr,02/02/22,11:29,Check on the Welfare,CBE
8,2022-00007406,01/31/22,12:00,"26, South Campus Dining Hall at 7093 Preinkert Dr",02/02/22,16:40,Theft,Investigation Pending
10,2022-00007424,09/14/21,08:30,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr",02/02/22,18:21,Title IX Incident Non Criminal,CBE
12,2022-00007467,02/03/22,00:24,"Nyumburu, Nyumburu Cultural Center at 4018 Campus Dr",02/03/22,00:24,Injured/Sick Person,CBE
14,2022-00007493,02/02/22,20:00,"Easton, Easton Hall at 3917 Denton Service Ln",02/03/22,02:47,Injured/Sick Person,CBE
16,2022-00007653,02/03/22,19:34,3400 block of Tulane Dr,02/03/22,19:34,Emergency Petition,Active/Pending
18,2022-00007663,02/03/22,21:42,7500 block of Princeton Ave,02/03/22,21:42,Assist Other Agency / Check on the Welfare,CBE
20,2022-00007726,02/04/22,02:34,La Plata Hall at 8160 La Plata Dr,02/04/22,02:34,Injured/Sick Person,CBE
22,2022-00007811,02/04/22,11:40,8200 block of Paint Branch Dr,02/04/22,11:40,Injured/Sick Person,CBE
24,2022-00007817,02/04/22,12:55,"Brendan Iribe Center, Iribe Center at 8125 Paint Branch Dr",02/04/22,12:55,Disorderly Conduct,CBE
26,2022-00007861,02/04/22,11:00,Kim Engineering Building at 8228 Paint Branch Dr,02/04/22,17:32,Other Service Call,CBE
28,2022-00007868,02/04/22,18:00,Calvert Rd,02/04/22,18:30,Other Incident,CBE
30,2022-00007887,02/03/22,07:00,7500 block of Yale Ave,02/04/22,19:59,Extortion,CBE
32,2022-00007945,02/04/22,23:15,Baltimore Ave,02/04/22,23:15,CDS Violation,Arrest
34,2022-00007960,02/05/22,00:30,3900 block of Denton Service Ln,02/05/22,00:30,CDS Violation,Arrest
36,2022-00007970,02/05/22,03:44,4200 block of Farm Dr,02/05/22,03:44,Emergency Petition,CBE
38,2022-00008002,02/04/22,14:00,"Cole, Cole Field House, Cole Student Activities Building, Driscoll Center, Jones-Hill House at 4090 Union Dr",02/05/22,09:27,Dept Property Damage/Loss,CBE
40,2022-00008109,02/05/22,21:44,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056 Regents Dr",02/05/22,21:44,Injured/Sick Person,CBE
42,2022-00008166,02/06/22,00:40,3900 block of Denton Service Ln,02/06/22,00:40,Injured/Sick Person,CBE
44,2022-00008172,02/06/22,01:24,Baltimore Ave,02/06/22,01:24,DWI/DUI,Arrest
46,2022-00008181,02/06/22,03:27,3400 block of Tulane Dr,02/06/22,03:27,Assault,Arrest
48,2022-00008237,02/06/22,12:10,"Cole, Cole Field House, Cole Student Activities Building, Driscoll Center, Jones-Hill House at 4090 Union Dr",02/06/22,12:16,Injured/Sick Person,CBE
50,2022-00008302,02/06/22,17:24,"35, McKeldin Library at 7649 Library Ln",02/06/22,17:24,Injured/Sick Person,CBE
52,2022-00008321,02/06/22,18:56,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr",02/06/22,18:56,Injured/Sick Person,CBE
54,2022-00008404,02/07/22,06:00,3900 block of Denton Service Ln,02/07/22,06:15,Damage to State Property,CBE
56,2022-00008428,01/10/17,08:00,"71, Lee Building, South Administration at 7809 Regents Dr",02/07/22,09:13,Fraud,Arrest
58,2022-00008439,02/07/22,09:45,"Microbiology, Microbiology Building at 4062 Campus Dr",02/07/22,09:53,Fire,CBE
60,2022-00008586,02/07/22,17:34,"37, Shoemaker, Shoemaker Building at 4281 Chapel Ln",02/07/22,17:34,Emergency Petition,CBE
62,2022-00008772,02/05/22,08:00,"37, Shoemaker, Shoemaker Building at 4281 Chapel Ln",02/08/22,15:31,Fraud,CBE
64,2022-00008847,02/08/22,22:26,"70, Caroline Hall at 7154 Preinkert Dr",02/08/22,22:26,CDS Violation,Arrest
66,2022-00008870,02/08/22,23:45,"Frat 10, Sigma Kappa, Sigma Kappa Sorority at 10 Fraternity Row",02/08/22,23:58,Injured/Sick Person,CBE
68,2022-00008964,02/09/22,08:26,"Alpha Epsilon Phi, Alpha Epsilon Phi Sorority, Frat 11 at 11 Fraternity Row",02/09/22,08:26,Accident,CBE
70,2022-00008972,02/02/22,14:00,"Litton, Police Services & Training Facility at 7147 51st Ave",02/09/22,09:45,Injured Officer,CBE
72,2022-00009001,02/09/22,11:00,"35, McKeldin Library at 7649 Library Ln",02/09/22,11:23,Theft,Investigation Pending
74,2022-00009061,02/09/22,16:00,Cumberland Hall at 4250 Farm Dr,02/09/22,17:05,Suspicious Person/Auto,CBE
76,2022-00009106,02/09/22,22:46,"38, Lefrak, Lefrak Hall at 7251 Preinkert Dr",02/09/22,22:46,Theft,Active/Pending
78,2022-00009198,02/10/22,08:49,"Alpha Epsilon Phi, Alpha Epsilon Phi Sorority, Frat 11 at 11 Fraternity Row",02/10/22,08:49,Hazardous Condition,CBE
80,2022-00009206,02/09/22,21:00,948 at 4600 River Rd,02/10/22,10:06,Bomb Threat,CBE
82,2022-00009237,01/05/22,11:00,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave",02/10/22,12:43,Dept Property Damage/Loss,CBE
84,2022-00009268,02/10/22,16:10,3800 block of Stadium Dr,02/10/22,16:13,Injured/Sick Person,CBE
86,2022-00009330,02/10/22,23:42,Campus Village at 8145 Baltimore Ave,02/10/22,23:42,CDS Violation,Arrest
88,2022-00009332,02/10/22,23:46,"Easton, Easton Hall at 3917 Denton Service Ln",02/10/22,23:46,CDS Violation,Arrest
90,2022-00009359,02/11/22,01:10,Pontiac St,02/11/22,01:10,DWI/DUI,Arrest
92,2022-00009363,02/11/22,02:00,Lot F,02/11/22,02:00,CDS Violation,Arrest
94,2022-00009370,02/11/22,02:27,4300 block of Knox Rd,02/11/22,02:27,Injured/Sick Person,CBE
96,2022-00009473,02/11/22,09:40,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr",02/11/22,09:54,Injured/Sick Person,CBE
98,2022-00009516,02/09/22,11:00,Lot 4B,02/11/22,13:28,Theft,Active/Pending
100,2022-00009518,02/11/22,14:30,"Commons 5, SCC 5, South Campus Commons 5 at 6903 Preinkert Dr",02/11/22,14:30,Trespassing,CBE
102,2022-00009649,02/12/22,00:55,Campus Dr,02/12/22,00:55,CDS Violation,Arrest
104,2022-00009659,02/12/22,01:58,Baltimore Ave,02/12/22,01:58,DWI/DUI,Arrest
106,2022-00009901,02/13/22,00:10,7500 block of Calvert Service Ln,02/13/22,00:39,Suspicious Activity,Active/Pending
108,2022-00009905,02/13/22,01:33,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln",02/13/22,01:33,Emergency Petition,CBE
110,2022-00010009,02/12/22,12:00,3800 block of University Blvd,02/13/22,12:42,Stolen Motor Vehicle,CBE
112,2022-00010039,02/13/22,16:00,"91, Chemistry, Chemistry Building at 8051 Regents Dr",02/13/22,16:12,Injured/Sick Person,CBE
114,2022-00010151,02/14/22,00:17,Baltimore Ave,02/14/22,00:17,DWI/DUI,Arrest
116,2022-00010165,02/14/22,01:55,Lot 5,02/14/22,01:55,CDS Violation,CBE
118,2022-00010270,02/11/22,13:30,7300 block of Preinkert Dr,02/14/22,15:31,Theft,Active/Pending
120,2022-00010274,02/07/22,21:00,University Courtyard #2 at 8200 Boteler Ln,02/14/22,15:36,Theft from Auto,Investigation Pending
122,2022-00010321,02/14/22,18:52,Manufacturing Building at 8197 Regents Dr,02/14/22,18:52,Injured/Sick Person,CBE
124,2022-00010389,02/14/22,23:49,Campus Dr,02/14/22,23:49,CDS Violation,Arrest
126,2022-00010406,02/15/22,00:39,"PG3, SDG, Stadium Drive Garage, Stadium Drive Parking Garage at 4025 Stadium Dr",02/15/22,00:39,CDS Violation,CBE
128,2022-00010560,02/11/22,15:00,Lot 11b,02/15/22,18:20,Vandalism,CBE
130,2022-00010580,02/15/22,20:35,4200 block of Valley Dr,02/15/22,20:35,CDS Violation,Arrest
132,2022-00010581,06/20/19,19:00,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave",02/15/22,20:35,Rape (Title IX Related),Juvenile Arrest
134,2022-00010615,02/15/22,19:00,7500 block of Belmar Ct,02/15/22,21:57,Check on the Welfare,CBE
136,2022-00010671,02/16/22,01:01,"Commons 3, SCC 3, South Campus Commons 3 at 4318 Knox Rd",02/16/22,01:01,Injured/Sick Person,CBE
138,2022-00010731,02/16/22,07:20,"26, South Campus Dining Hall at 7093 Preinkert Dr",02/16/22,07:34,Damage to State Property,CBE
140,2022-00010813,02/16/22,17:01,Cumberland Hall at 4250 Farm Dr,02/16/22,17:01,Injured/Sick Person,CBE
142,2022-00010828,02/15/22,15:45,"31, Garrett, Garrett Hall at 7570 Calvert Service Ln",02/16/22,18:33,Theft,Investigation Pending
144,2022-00010914,02/16/22,23:53,"79, Turner Hall, Visitor Center at 7736 Baltimore Ave",02/16/22,23:53,DWI/DUI,Arrest
146,2022-00010990,02/17/22,01:30,"84, Kirwan Hall, Mathematics, Mathematics Building, William E. Kirwan Hall, William Kirwan Hall at 4176 Campus Dr",02/17/22,07:59,Assist Other Agency / Rape,CBE
148,2022-00011023,02/16/22,15:15,"Litton, Police Services & Training Facility at 7147 51st Ave",02/17/22,12:35,Injured Officer,CBE
150,2022-00011038,02/17/22,15:29,"Denton Area Dining Hall, Denton Dining Hall at 3951 Denton Service Ln",02/17/22,15:29,Emergency Petition,CBE
152,2022-00011164,02/17/22,10:00,3900 block of Campus Dr,02/17/22,23:02,Other Incident,CBE
154,2022-00011290,02/18/22,07:50,Lot N9,02/18/22,08:48,Damaged Property,CBE
156,2022-00011292,01/27/22,14:00,"Easton, Easton Hall at 3917 Denton Service Ln",02/18/22,09:40,Vandalism,Active/Pending
158,2022-00011380,02/18/22,17:39,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln",02/18/22,17:39,Recovered Stolen Motor Vehicle,Arrest
160,2022-00011383,02/18/22,18:30,"78, Armory, Reckord Armory at 4490 Rossborough Ln",02/18/22,18:45,Injured/Sick Person,CBE
162,2022-00011388,02/18/22,09:45,"PG3, SDG, Stadium Drive Garage, Stadium Drive Parking Garage at 4025 Stadium Dr",02/18/22,19:41,Theft,Arrest
164,2022-00011643,02/19/22,22:46,"Frat 14, Zeta Beta Tau, Zeta Beta Tau Fraternity at 14 Fraternity Row",02/19/22,22:46,Injured/Sick Person,CBE
166,2022-00011644,02/19/22,22:41,7400 block of Calvert Service Ln,02/19/22,22:41,Fire,CBE
168,2022-00011652,02/19/22,23:00,4400 block of Lehigh Rd,02/19/22,23:12,Injured/Sick Person,CBE
170,2022-00011681,02/20/22,02:15,Lot 2a,02/20/22,02:15,CDS Violation,CBE
172,2022-00011830,02/20/22,18:00,4300 block of Knox Rd,02/20/22,19:41,Extortion,Investigation Pending
174,2022-00011832,02/20/22,20:14,7600 block of Library Ln,02/20/22,20:14,Injured/Sick Person,CBE
176,2022-00011833,02/20/22,21:11,Mowatt Ln,02/20/22,21:11,DWI/DUI,Arrest
178,2022-00011837,02/20/22,21:50,"Frat 14, Zeta Beta Tau, Zeta Beta Tau Fraternity at 14 Fraternity Row",02/20/22,21:50,CDS Violation,CBE
180,2022-00012095,02/21/22,19:45,"Comcast Center, Xfinity, Xfinity Center at 8500 Paint Branch Dr",02/21/22,19:56,Suspicious Activity,CBE
182,2022-00012182,02/22/22,02:00,"7-11 Guilford, 7-Eleven Guilford at 7201 Baltimore Ave",02/22/22,02:36,Assist Other Agency / Robbery,CBE
184,2022-00012228,02/22/22,09:00,"82, John S. Toll Physics Building, Physics, Physics Building at 4150 Campus Dr",02/22/22,09:42,Injured/Sick Person,CBE
186,2022-00012376,02/23/22,00:04,"E. A. Fernandez Idea Factory, Idea Factory at 4462 Stadium Dr",02/23/22,00:04,CDS Violation,CBE
188,2022-00012393,02/23/22,01:20,University Blvd,02/23/22,01:20,DWI/DUI,Arrest
190,2022-00012398,02/23/22,01:59,Baltimore Ave,02/23/22,01:59,CDS Violation,Arrest
192,2022-00012449,02/23/22,08:30,4000 block of Stadium Dr,02/23/22,08:52,Vandalism,Investigation Pending
194,2022-00012489,02/23/22,10:00,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr",02/23/22,13:30,Other Incident,CBE
196,2022-00012516,02/23/22,15:00,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr",02/23/22,17:19,Suspicious Activity,CBE
198,2022-00012550,02/23/22,19:21,6900 block of Preinkert Dr,02/23/22,19:21,CDS Violation,CBE
200,2022-00012636,02/24/22,01:23,"Commons 1, SCC 1, South Campus Commons 1 at 4250 Lehigh Rd",02/24/22,01:23,Injured/Sick Person,CBE
202,2022-00012649,02/24/22,03:08,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln",02/24/22,03:08,Recovered Stolen Motor Vehicle,Active/Pending
204,2022-00012667,02/22/22,07:00,DOTS Impound Lot,02/24/22,10:59,Burglary,Investigation Pending
206,2022-00012671,02/22/22,02:00,8000 block of Regents Dr,02/24/22,11:57,Emergency Petition,CBE
208,2022-00012675,02/23/22,14:06,"46, Marie Mount, Marie Mount Hall at 7814 Regents Dr",02/24/22,14:06,Injured/Sick Person,CBE
210,2022-00012677,02/24/22,12:30,"36, Plant Sciences Building at 4291 Fieldhouse Dr",02/24/22,15:08,Theft,Active/Pending
212,2022-00012686,02/24/22,15:37,7700 block of Alumni Dr,02/24/22,16:12,Check on the Welfare,CBE
214,2022-00012719,02/24/22,13:00,"Lot HH, PG1, ULG, Union Lane Garage, Union Lane Parking Garage at 4170 Union Ln",02/24/22,18:57,Theft,Active/Pending
216,2022-00012992,02/25/22,16:23,"37, Shoemaker, Shoemaker Building at 4281 Chapel Ln",02/25/22,16:23,Emergency Petition,CBE
218,2022-00013240,02/26/22,06:35,8000 block of Hagerstown Dr,02/26/22,06:35,Injured/Sick Person,CBE
220,2022-00013270,02/26/22,10:00,7000 block of Baltimore Ave,02/26/22,10:00,Assist Other Agency / Other,CBE
222,2022-00013289,02/26/22,12:15,"Recreation Artificial Turf Field, Turf Field, Turf Fields",02/26/22,12:15,Injured/Sick Person,CBE
224,2022-00013294,02/26/22,13:15,Union Ln,02/26/22,15:19,Theft,Investigation Pending
226,2022-00013317,02/25/22,14:55,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr",02/26/22,17:20,Theft,Arrest
228,2022-00013354,02/26/22,20:31,"11, The Hall at 4656 Hotel Dr",02/26/22,20:31,Injured/Sick Person,CBE
230,2022-00013413,02/27/22,00:57,7500 block of Preinkert Dr,02/27/22,00:57,Injured/Sick Person,CBE
232,2022-00013437,02/27/22,02:31,3800 block of Stadium Dr,02/27/22,02:31,Injured/Sick Person,CBE
234,2022-00013480,02/27/22,09:43,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln",02/27/22,09:43,Recovered Stolen Motor Vehicle,Arrest
236,2022-00013487,02/26/22,11:30,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln",02/27/22,11:59,Vandalism,Arrest
238,2022-00013489,02/18/22,14:00,"Pyon Chen, Pyon-Chen Hall at 8097 La Plata Dr",02/27/22,13:16,Injured/Sick Person,CBE
240,2022-00013575,02/27/22,23:02,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln",02/27/22,23:02,Emergency Petition,CBE
242,2022-00013647,02/26/22,02:00,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln",02/28/22,11:59,Vandalism,Arrest
244,2022-00013673,02/28/22,13:00,"Cole, Cole Field House, Cole Student Activities Building, Driscoll Center, Jones-Hill House at 4090 Union Dr",02/28/22,15:08,Emergency Petition,CBE
246,2022-00013704,02/28/22,18:51,"39, Van Munching, Van Munching Hall at 7699 Mowatt Ln",02/28/22,18:51,Injured/Sick Person,CBE
248,2022-00013724,02/28/22,20:26,Cumberland Hall at 4250 Farm Dr,02/28/22,20:26,Emergency Petition,CBE
0,2022-00013869,02/15/22,08:00,4400 block of Technology Dr,03/01/22,11:34,Vandalism,Investigation Pending
2,2022-00013875,03/01/22,12:15,Lot SS1,03/01/22,12:49,Damaged Property,CBE
4,2022-00013888,02/22/22,08:00,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave",03/01/22,14:20,Theft,Investigation Pending
6,2022-00013972,03/01/22,21:40,Guilford Rd,03/01/22,21:47,Assist Other Agency (Title IX Related) / Indecent Exposure,CBE
8,2022-00013984,03/01/22,23:04,"Elkton, Elkton Hall at 3981 Denton Service Ln",03/01/22,23:04,Vandalism,Investigation Pending
10,2022-00013994,03/01/22,23:40,"63, Somerset, Somerset Hall at 7567 Preinkert Dr",03/01/22,23:57,Suspicious Activity,Active/Pending
12,2022-00014057,03/02/22,08:45,"S Campus Surge, Susquehanna, Susquehanna Hall at 4200 Lehigh Rd",03/02/22,10:00,Other Incident,CBE
14,2022-00014149,03/02/22,20:45,7200 block of Preinkert Dr,03/02/22,20:45,Injured/Sick Person,CBE
16,2022-00014155,03/02/22,19:00,"39, Van Munching, Van Munching Hall at 7699 Mowatt Ln",03/02/22,21:21,Title IX Incident Non Criminal,Active/Pending
18,2022-00014177,03/02/22,19:24,7600 block of Mowatt Ln,03/03/22,00:20,Theft,Active/Pending
20,2022-00014391,03/03/22,19:42,"4, Ritchie Coliseum at 7675 Baltimore Ave",03/03/22,19:42,Injured/Sick Person,CBE
22,2022-00014462,03/04/22,00:33,Mowatt Ln,03/04/22,00:55,Fire,Unfounded
24,2022-00014465,03/04/22,01:11,Mowatt Ln,03/04/22,01:11,Recovered Stolen Motor Vehicle,CBE
26,2022-00014480,03/04/22,02:19,4200 block of Valley Dr,03/04/22,02:19,Injured/Sick Person,CBE
28,2022-00014496,03/04/22,03:30,4000 block of Stadium Dr,03/04/22,03:44,Suspicious Activity,CBE
30,2022-00014754,03/04/22,23:05,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr",03/04/22,23:05,Injured/Sick Person,CBE
32,2022-00014764,03/04/22,23:47,Cumberland Hall at 4250 Farm Dr,03/04/22,23:47,Injured/Sick Person,CBE
