,case_number,date_occurred,time_occurred,location_desc,date_reported,time_reported,type,disposition
62,2017-00057346,9/5/2017,15:35,"Lee Building, South Administration at 7809 Regents Dr",9/5/2017,16:35,Disorderly Conduct,CBE
64,2017-00057400,9/5/2017,23:00,4000 block of Stadium Dr,9/5/2017,23:56,Injured/Sick Person,CBE
66,2017-00057421,9/6/2017,1:01,McDonald's at 8301 Baltimore Ave,9/6/2017,1:01,DWI/DUI,Arrest
68,2017-00057463,9/6/2017,4:55,Baltimore Ave,9/6/2017,4:55,Warrant/Summons Service,CBE
70,2017-00057607,9/6/2017,21:25,3900 block of Denton Service Ln,9/6/2017,21:31,Title IX Incident Non Criminal,CBE
72,2017-00057649,9/7/2017,0:36,7300 block of Princeton Ave,9/7/2017,0:36,Injured/Sick Person,CBE
74,2017-00057668,9/7/2017,1:51,Baltimore Ave,9/7/2017,1:51,CDS Violation,Arrest
76,2017-00057674,9/7/2017,2:08,Baltimore Ave,9/7/2017,2:08,CDS Violation,Arrest
78,2017-00057735,9/5/2017,9:30,"HHP, PERH, Public Health, School of Public Health Building, SPH at 4200 Valley Dr",9/7/2017,9:28,Theft,Arrest
80,2017-00057756,9/7/2017,12:59,3900 block of Campus Dr,9/7/2017,12:59,Injured/Sick Person,CBE
82,2017-00057757,9/7/2017,13:00,7700 block of Baltimore Ave,9/7/2017,13:06,Injured/Sick Person,CBE
84,2017-00057780,9/7/2017,17:06,"Comcast Center, Xfinity Center at 8500 Paint Branch Dr",9/7/2017,17:06,Injured/Sick Person,CBE
86,2017-00057887,9/8/2017,1:08,Hopkins Ave,9/8/2017,1:08,Injured/Sick Person,CBE
88,2017-00057893,9/8/2017,1:25,"La Plata Hall, LaPlata hall at 4121 Farm Dr",9/8/2017,1:25,Injured/Sick Person,CBE
90,2017-00057908,9/8/2017,2:10,Campus Dr,9/8/2017,2:10,Injured/Sick Person,CBE
92,2017-00057910,9/8/2017,2:15,College Ave,9/8/2017,2:17,Assault,Arrest
94,2017-00057923,9/8/2017,1:40,3800 block of Stadium Dr,9/8/2017,3:40,Injured/Sick Person,CBE
96,2017-00057929,9/8/2017,4:04,4100 block of Valley Dr,9/8/2017,4:04,Injured/Sick Person,CBE
98,2017-00057994,9/7/2017,12:00,4000 block of Stadium Dr,9/8/2017,12:21,Theft,Suspended
100,2017-00058007,9/6/2017,16:30,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056 Regents Dr",9/8/2017,14:53,Stolen Motor Vehicle,Unfounded
102,2017-00058009,9/8/2017,11:50,Farm Dr,9/8/2017,15:03,Theft,Unfounded
104,2017-00058011,9/8/2017,15:24,"Comcast Center, Xfinity Center at 8500 Paint Branch Dr",9/8/2017,15:24,Injured/Sick Person,CBE
106,2017-00058109,9/8/2017,22:55,"Cole Field House, Cole Student Activities Building, Driscoll Center at 4090 Union Dr",9/8/2017,23:08,Injured/Sick Person,CBE
108,2017-00058126,8/26/2017,2:30,4700 block of Norwich Rd,9/8/2017,23:58,Assist Other Agency (Title IX Related),Active/Pending
110,2017-00058127,9/9/2017,0:01,Valley Dr,9/9/2017,0:04,Theft,Active/Pending
112,2017-00058168,9/9/2017,2:47,5000 block of Briarwood Rd,9/9/2017,2:47,Accident - Departmental,CBE
114,2017-00058170,9/9/2017,3:10,Adelphi Rd,9/9/2017,3:10,DWI/DUI,Arrest
116,2017-00058213,9/9/2017,0:02,Lot GG1,9/9/2017,11:33,Vandalism,Warrant Issued
118,2017-00058216,9/9/2017,11:54,Lot 1b,9/9/2017,11:54,Injured/Sick Person,CBE
120,2017-00058221,9/9/2017,12:22,"Capital One Field at Maryland Stadium, Maryland Stadium",9/9/2017,12:22,Injured/Sick Person,CBE
122,2017-00058233,9/9/2017,13:24,Van Munching Hall at 7699 Mowatt Ln,9/9/2017,13:24,Injured/Sick Person,CBE
124,2017-00058272,9/9/2017,18:11,Van Munching Hall at 7699 Mowatt Ln,9/9/2017,18:11,Injured/Sick Person,CBE
126,2017-00058329,9/9/2017,23:37,Girard Ave,9/9/2017,23:37,Theft,Juvenile Arrest
128,2017-00058340,9/10/2017,1:10,4500 block of Knox Rd,9/10/2017,1:20,Trespassing,Arrest
130,2017-00058352,9/10/2017,3:10,Adelphi Rd,9/10/2017,3:10,DWI/DUI,Arrest
132,2017-00058459,9/10/2017,18:25,3700 block of Campus Dr,9/10/2017,18:25,Assist Other Agency,CBE
134,2017-00058469,9/10/2017,20:25,"A James Clark Hall, A. James Clark Hall, A.J. Clark Hall, Clark Hall at 8278 Paint Branch Dr",9/10/2017,20:25,Other Incident,CBE
136,2017-00058482,9/9/2017,19:00,4600 block of Knox Rd,9/10/2017,22:03,Assist Other Agency,CBE
138,2017-00058509,9/10/2017,23:20,Caroline Hall at 7154 Preinkert Dr,9/10/2017,23:25,CDS Violation,CBE
140,2017-00058523,9/11/2017,0:22,4300 block of Knox Rd,9/11/2017,0:22,Emergency Petition,CBE
142,2017-00058528,9/11/2017,1:11,4400 block of Knox Rd,9/11/2017,1:11,Warrant/Summons Service,Arrest
144,2017-00058594,9/7/2017,5:00,"Comcast Center, Xfinity Center at 8500 Paint Branch Dr",9/11/2017,8:39,Stolen Motor Vehicle,Active/Pending
146,2017-00058610,6/15/2017,12:00,"H.J. Patterson Hall, HJ Patterson Hall at 4065 Campus Dr",9/11/2017,10:35,Theft,Suspended
148,2017-00058645,9/11/2017,13:37,Mckeldin Mall,9/11/2017,13:37,Vandalism,Arrest
150,2017-00058664,9/8/2017,15:00,8000 block of Boteler Ln,9/11/2017,16:44,Theft,Suspended
152,2017-00058682,9/11/2017,2:50,"Brendan Iribe Center, Iribe Center at 8125 Paint Branch Dr",9/11/2017,18:32,Injured/Sick Person,CBE
154,2017-00058770,9/12/2017,1:40,Knox Rd,9/12/2017,1:40,DWI/DUI,Arrest
156,2017-00058773,9/12/2017,2:16,Baltimore Ave,9/12/2017,2:16,DWI/DUI,Arrest
158,2017-00058774,9/12/2017,2:14,3900 block of Denton Service Ln,9/12/2017,2:14,Injured/Sick Person,CBE
160,2017-00058862,9/12/2017,15:23,8000 block of Regents Dr,9/12/2017,15:23,Injured/Sick Person,CBE
162,2017-00058877,9/1/2017,22:00,"Terrapin Row #1, Terrapin Row 1, TR1 at 4207 Knox Rd",9/12/2017,16:41,Assist Other Agency,CBE
164,2017-00058987,9/13/2017,0:38,Baltimore Ave,9/13/2017,0:38,DWI/DUI,Arrest
166,2017-00058993,9/13/2017,1:03,"Leonardtown #250, Leonardtown Community Center at 7559 Yale Ave",9/13/2017,1:03,Injured/Sick Person,CBE
168,2017-00059008,9/13/2017,2:01,4500 block of Knox Rd,9/13/2017,2:01,CDS Violation,Arrest
170,2017-00059084,9/13/2017,11:30,Plant Sciences Building at 4291 Fieldhouse Dr,9/13/2017,11:34,Other Incident (Title IX Related),Unfounded
172,2017-00059106,9/7/2017,12:00,7600 block of Regents Dr,9/13/2017,15:12,Injured/Sick Person,CBE
174,2017-00059125,9/13/2017,16:09,University Blvd,9/13/2017,16:09,CDS Violation,Arrest
176,2017-00059131,9/13/2017,17:12,Plant Sciences Building at 4291 Fieldhouse Dr,9/13/2017,17:12,Injured/Sick Person,CBE
178,2017-00059182,9/10/2017,21:30,Lot 3,9/13/2017,22:17,Theft from Auto,Suspended
180,2017-00059226,9/14/2017,1:41,4400 block of Knox Rd,9/14/2017,1:41,Injured/Sick Person,CBE
182,2017-00059227,9/14/2017,1:57,"Edward St. John Learning and Teching Center, ESJ at 4131 Campus Dr",9/14/2017,1:57,Suspicious Activity,CBE
184,2017-00059229,9/14/2017,2:30,7500 block of Regents Dr,9/14/2017,2:30,Injured/Sick Person,CBE
186,2017-00059324,9/14/2017,16:11,7600 block of Library Ln,9/14/2017,16:11,Vandalism,Suspended
188,2017-00059330,9/14/2017,0:30,8200 block of 55th Ave,9/14/2017,17:20,Assist Other Agency,CBE
190,2017-00059336,9/14/2017,19:03,Van Munching Hall at 7699 Mowatt Ln,9/14/2017,19:03,Other Incident,CBE
192,2017-00059393,9/15/2017,2:00,Main Administration Building at 7901 Regents Dr,9/15/2017,3:00,Injured/Sick Person (Title IX Related),CBE
194,2017-00059411,9/15/2017,5:59,4300 block of Guilford Dr,9/15/2017,5:59,Injured/Sick Person,CBE
196,2017-00059429,9/15/2017,7:44,7500 block of Baltimore Ave,9/15/2017,8:12,Suspicious Activity,Active/Pending
198,2017-00059451,9/14/2017,16:00,4200 block of Valley Dr,9/15/2017,11:11,Theft,Suspended
200,2017-00059453,9/10/2017,8:00,4500 block of College Ave,9/15/2017,11:26,Telephone/EMail Misuse,CBE
202,2017-00059496,9/15/2017,17:04,7600 block of Library Ln,9/15/2017,17:04,Vandalism,CBE
204,2017-00059529,2/18/2017,13:00,7400 block of Dickinson Ave,9/15/2017,21:05,Assist Other Agency (Title IX Related),CBE
206,2017-00059573,9/15/2017,23:06,4300 block of Knox Rd,9/15/2017,23:06,Assist Other Agency,CBE
208,2017-00059576,9/15/2017,23:45,3900 block of Campus Dr,9/15/2017,23:46,Injured/Sick Person,CBE
210,2017-00059594,9/16/2017,0:56,Quality Inn at 7200 Baltimore Ave,9/16/2017,0:56,DWI/DUI,Arrest
212,2017-00059604,9/16/2017,1:43,"MFRI, MFRI Office/Classroom Building at 4500 Campus Dr",9/16/2017,1:43,DWI/DUI,Arrest
214,2017-00059619,9/16/2017,3:38,4500 block of Guilford Rd,9/16/2017,3:38,Assist Other Agency (Title IX Related),Active/Pending
216,2017-00059652,9/16/2014,9:44,7500 block of Rhode Island Ave,9/16/2017,9:11,Assist Other Agency,CBE
218,2017-00059688,9/14/2017,19:00,8000 block of Boteler Ln,9/16/2017,13:05,Other Incident,CBE
220,2017-00059690,9/15/2017,10:00,"Graham Cracker, Lot 15",9/16/2017,13:31,Theft,Suspended
222,2017-00059712,9/16/2017,15:30,"PG3, SDG, Stadium Drive Parking Garage at 4025 Stadium Dr",9/16/2017,15:30,CDS Violation,Arrest
224,2017-00059717,9/16/2017,16:51,"La Plata Hall, LaPlata hall at 4121 Farm Dr",9/16/2017,16:51,Other Incident,CBE
226,2017-00059728,9/14/2017,16:00,7600 block of Library Ln,9/16/2017,17:42,Title IX Incident Non Criminal,CBE
228,2017-00059803,9/16/2017,23:50,7500 block of Preinkert Dr,9/16/2017,23:55,Injured/Sick Person,CBE
230,2017-00059808,9/17/2017,0:20,7500 block of Baltimore Ave,9/17/2017,0:11,Assist Other Agency,CBE
232,2017-00059811,9/17/2017,0:15,7500 block of Hopkins Ave,9/17/2017,0:15,Injured/Sick Person,CBE
234,2017-00059855,9/17/2017,2:01,Knox Rd,9/17/2017,2:01,Injured/Sick Person,CBE
236,2017-00059884,9/17/2017,4:04,Metzerott Rd,9/17/2017,4:04,DWI/DUI,Arrest
238,2017-00059912,9/17/2017,11:30,"Capital One Field at Maryland Stadium, Maryland Stadium",9/17/2017,11:59,Dept Property Damage/Loss,CBE
240,2017-00059924,9/16/2017,21:30,13 Fraternity Row,9/17/2017,14:32,Assault,CBE
242,2017-00059973,9/17/2017,18:12,7500 block of Mowatt Ln,9/17/2017,18:12,Theft,Unfounded
244,2017-00060016,9/17/2017,21:30,3800 block of Stadium Dr,9/17/2017,22:13,Injured/Sick Person,CBE
246,2017-00060018,9/9/2017,{NO TIME},3900 block of Denton Service Ln,9/17/2017,22:19,Other Incident,CBE
248,2017-00060019,9/17/2017,22:20,"Leonardtown, Leonardtown #201, Leonardtown Leonardtown Office Building at 4725 Rossborough Ln",9/17/2017,22:29,Suspicious Person/Auto,Active/Pending
250,2017-00060090,9/17/2017,23:00,Health Center at 3983 Campus Dr,9/18/2017,4:10,Injured/Sick Person,CBE
252,2017-00060108,9/18/2017,8:14,7600 block of Library Ln,9/18/2017,8:14,Injured/Sick Person,CBE
254,2017-00060151,9/17/2017,16:00,"Clarice Smith Performing Arts Center, CSPAC at 8270 Alumni Dr",9/18/2017,11:18,Other Incident,CBE
256,2017-00060164,9/15/2017,13:00,Wicomico Hall at 7218 Preinkert Dr,9/18/2017,11:42,Theft,CBE
258,2017-00060186,9/18/2017,13:05,7200 block of Preinkert Dr,9/18/2017,13:05,Injured/Sick Person,CBE
260,2017-00060194,9/18/2017,8:00,8200 block of Baltimore Ave,9/18/2017,13:42,Title IX Incident Non Criminal,CBE
262,2017-00060199,9/8/2017,17:00,Lot RR2,9/18/2017,14:23,False Report/Statement,Active/Pending
264,2017-00060209,9/18/2017,15:25,"Arena Drive Parking Garage, Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155 Terrapin Trl",9/18/2017,15:25,Hazardous Condition,CBE
266,2017-00060212,9/18/2017,16:32,8000 block of Boteler Ln,9/18/2017,16:32,Emergency Petition,CBE
268,2017-00060235,9/18/2017,19:57,Biology-Psychology Building at 4094 Campus Dr,9/18/2017,19:57,Title IX Incident Non Criminal,Active/Pending
270,2017-00060346,9/19/2017,2:53,"College Park Shopping Center, CVS at 7300 Baltimore Ave",9/19/2017,2:53,DWI/DUI,Arrest
272,2017-00060495,9/9/2017,12:12,Lot 1b,9/19/2017,12:12,Suspicious Activity,CBE
274,2017-00060511,9/13/2017,9:00,"Eppley Recreation Center, ERC at 4128 Valley Dr",9/19/2017,15:22,Theft,Active/Pending
276,2017-00060520,9/19/2017,15:59,Delta Sigma Phi at 4300 Knox Rd,9/19/2017,15:59,CDS Violation,CBE
278,2017-00060526,7/14/2017,12:00,4000 block of Union Dr,9/19/2017,16:39,Burglary,Suspended
280,2017-00060553,9/19/2017,19:30,7300 block of Preinkert Dr,9/19/2017,20:03,Injured/Sick Person,CBE
282,2017-00060564,9/19/2017,21:26,7000 block of Preinkert Dr,9/19/2017,21:26,Injured/Sick Person,CBE
284,2017-00060588,9/19/2017,23:02,Ellicott Area Dining Hall at 4028 Stadium Dr,9/19/2017,23:02,Other Incident,CBE
286,2017-00060650,9/20/2017,2:22,"A.V. Williams Building, AV Williams at 8223 Paint Branch Dr",9/20/2017,2:22,DWI/DUI,Arrest
288,2017-00060730,9/20/2017,9:37,Field Hockey & Lacrosse Complex at 8483 Paint Branch Dr,9/20/2017,9:37,Suspicious Activity,CBE
290,2017-00060772,9/17/2017,19:00,"Comcast Center, Xfinity Center at 8500 Paint Branch Dr",9/20/2017,13:37,Theft,Suspended
292,2017-00060833,9/20/2017,20:00,7000 block of Preinkert Dr,9/20/2017,20:11,Theft,Active/Pending
294,2017-00060862,9/20/2017,22:21,7000 block of Preinkert Dr,9/20/2017,22:21,CDS Violation,Arrest
296,2017-00060935,9/21/2017,2:18,Annapolis Hall at 7626 Regents Dr,9/21/2017,2:18,Check on the Welfare,CBE
298,2017-00060940,9/21/2017,3:13,4300 block of Knox Rd,9/21/2017,3:13,Emergency Petition,CBE
300,2017-00060980,9/20/2017,19:00,3400 block of Tulane Dr,9/21/2017,9:20,Theft from Auto,Suspended
302,2017-00060984,9/21/2017,{NO TIME},3400 block of Tulane Dr,9/21/2017,9:51,Vehicle Tampering,CBE
304,2017-00061009,9/21/2017,0:30,"Graham Cracker, Lot 15",9/21/2017,15:47,Vandalism,Suspended
306,2017-00061013,9/17/2017,0:30,8 Fraternity Row,9/21/2017,16:29,Suspicious Activity,CBE
308,2017-00061016,9/21/2017,15:45,"Eppley Recreation Center, ERC at 4128 Valley Dr",9/21/2017,17:02,Theft,Suspended
310,2017-00061019,9/16/2017,19:00,7500 block of Baltimore Ave,9/21/2017,17:20,Assist Other Agency,CBE
312,2017-00061029,9/21/2017,15:30,3900 block of Campus Dr,9/21/2017,18:29,Theft,Active/Pending
314,2017-00061047,9/19/2017,14:00,"Leonardtown #246, Leonardtown at 7575 Yale Ave",9/21/2017,20:10,Theft,Active/Pending
316,2017-00061053,9/21/2017,16:30,"Eppley Recreation Center, ERC at 4128 Valley Dr",9/21/2017,20:46,Theft,Suspended
318,2017-00061058,9/21/2017,9:15,4200 block of Lehigh Rd,9/21/2017,21:14,Theft,Suspended
320,2017-00061064,9/21/2017,22:09,3900 block of Denton Service Ln,9/21/2017,22:09,CDS Violation,Arrest
322,2017-00061149,9/22/2017,2:15,"PG3, SDG, Stadium Drive Parking Garage at 4025 Stadium Dr",9/22/2017,2:15,CDS Violation,Arrest
324,2017-00061153,9/22/2017,2:31,4400 block of Lehigh Rd,9/22/2017,2:31,Disorderly Conduct,Arrest
326,2017-00061250,9/22/2017,17:45,"Comcast Center, Xfinity Center at 8500 Paint Branch Dr",9/22/2017,17:53,Injured/Sick Person,CBE
328,2017-00061251,9/22/2017,17:56,7300 block of Baltimore Ave,9/22/2017,17:56,Recovered Stolen Motor Vehicle,CBE
330,2017-00061278,9/22/2017,20:28,7000 block of Preinkert Dr,9/22/2017,20:28,Check on the Welfare,CBE
332,2017-00061341,9/23/2017,0:15,Dorchester Hall at 3947 Campus Dr,9/23/2017,0:27,Injured/Sick Person,CBE
334,2017-00061343,9/23/2017,0:31,4200 block of Valley Dr,9/23/2017,0:31,Injured/Sick Person,CBE
336,2017-00061346,9/23/2017,0:30,Campus Dr,9/23/2017,0:40,Injured/Sick Person,CBE
338,2017-00061369,9/23/2017,2:45,"Arena Drive Parking Garage, Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155 Terrapin Trl",9/23/2017,2:47,Other Incident,CBE
340,2017-00061392,9/23/2017,10:47,"Comcast Center, Xfinity Center at 8500 Paint Branch Dr",9/23/2017,10:47,Injured/Sick Person,CBE
342,2017-00061415,9/23/2017,13:36,Knox Rd,9/23/2017,13:36,Injured/Sick Person,CBE
344,2017-00061426,9/23/2017,14:23,Lot UU,9/23/2017,14:23,Injured/Sick Person,CBE
346,2017-00061444,9/23/2017,15:17,"Capital One Field at Maryland Stadium, Maryland Stadium",9/23/2017,15:17,Injured/Sick Person,CBE
348,2017-00061483,9/23/2017,17:23,"Capital One Field at Maryland Stadium, Maryland Stadium",9/23/2017,17:23,Disorderly Conduct,CBE
350,2017-00061492,9/23/2017,18:00,"Capital One Field at Maryland Stadium, Maryland Stadium",9/23/2017,18:15,Injured/Sick Person,CBE
352,2017-00061504,9/23/2017,15:00,3900 block of Denton Service Ln,9/23/2017,19:23,Injured/Sick Person,CBE
354,2017-00061507,9/23/2017,19:39,Rhode Island Ave,9/23/2017,19:39,Assist Other Agency,CBE
356,2017-00061511,9/23/2017,20:06,8700 block of Baltimore Ave,9/23/2017,20:06,Assist Fire Department,CBE
358,2017-00061557,9/23/2017,11:30,"Arena Drive Parking Garage, Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155 Terrapin Trl",9/23/2017,23:32,CDS Violation,Arrest
360,2017-00061611,9/24/2017,3:25,Wicomico Hall at 7218 Preinkert Dr,9/24/2017,3:34,Injured/Sick Person,CBE
362,2017-00061659,9/23/2017,21:00,7400 block of Columbia Ave,9/24/2017,11:21,Assist Other Agency,CBE
364,2017-00061664,9/23/2017,21:20,"7-11 Varsity, 7-Eleven Varsity at 8150 Baltimore Ave",9/24/2017,14:42,Injured Officer,CBE
366,2017-00061669,9/24/2017,15:00,4000 block of Stadium Dr,9/24/2017,15:27,Hate Bias Incident,Active/Pending
368,2017-00061685,9/20/2017,16:30,3900 block of Denton Service Ln,9/24/2017,18:09,Theft,Warrant Issued
370,2017-00061706,9/24/2017,21:38,"Arena Drive Parking Garage, Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155 Terrapin Trl",9/24/2017,21:38,CDS Violation,Arrest
372,2017-00061833,9/22/2017,14:10,5800 block of University Research Ct,9/25/2017,7:50,Theft,Suspended
374,2017-00061872,9/25/2017,12:30,4300 block of Knox Rd,9/25/2017,12:30,Fire,CBE
376,2017-00061887,9/15/2017,10:00,"Seneca Building, UC Center, UMUC Center, University Centre at 4716 Pontiac St",9/25/2017,14:24,Hate Bias Incident,Active/Pending
378,2017-00061905,9/25/2017,16:47,3900 block of Campus Dr,9/25/2017,16:47,Suspicious Person/Auto,CBE
380,2017-00061923,9/25/2017,19:52,4200 block of Knox Rd,9/25/2017,19:52,Assist Other Agency,CBE
382,2017-00061931,9/25/2017,20:40,4000 block of Stadium Dr,9/25/2017,21:07,Hate Bias Incident,Active/Pending
384,2017-00062184,9/27/2017,0:34,Wicomico Hall at 7218 Preinkert Dr,9/27/2017,0:34,Emergency Petition,CBE
386,2017-00062220,9/27/2017,4:04,Baltimore Ave,9/27/2017,4:04,Weapon Violation,Arrest
388,2017-00062277,9/27/2017,13:03,7400 block of Baltimore Ave,9/27/2017,13:03,CDS Violation,Arrest
390,2017-00062281,9/27/2017,14:40,Symons Hall at 7998 Regents Dr,9/27/2017,14:40,Trespassing,Arrest
392,2017-00062312,9/27/2017,18:40,Lot P2,9/27/2017,19:16,Suspicious Activity,Active/Pending
394,2017-00062324,9/27/2017,20:15,340 block of Ehrensberger Dr,9/27/2017,20:25,Injured/Sick Person,CBE
396,2017-00062335,9/27/2017,13:00,Hagerstown Hall at 4000 Stadium Dr,9/27/2017,22:38,Vandalism,Arrest
398,2017-00062418,9/27/2017,10:15,4000 block of Stadium Dr,9/28/2017,9:47,Vandalism,Active/Pending
400,2017-00062419,9/28/2017,10:06,Lefrak Hall at 7251 Preinkert Dr,9/28/2017,10:06,Trespassing,Arrest
402,2017-00062429,9/26/2017,12:00,8300 block of Baltimore Ave,9/28/2017,12:47,Assist Other Agency,CBE
404,2017-00062458,9/26/2017,15:00,7000 block of Preinkert Dr,9/28/2017,15:18,Theft,Active/Pending
406,2017-00062513,9/28/2017,16:40,Stadium Dr,9/28/2017,21:28,Accident,CBE
408,2017-00062521,9/28/2017,15:30,Ellicott Area Dining Hall at 4028 Stadium Dr,9/28/2017,21:55,Theft,Active/Pending
410,2017-00062527,9/28/2017,22:32,"Comcast Center, Xfinity Center at 8500 Paint Branch Dr",9/28/2017,22:32,Injured/Sick Person,CBE
412,2017-00062562,9/28/2017,23:36,Knox Rd,9/28/2017,23:36,DWI/DUI,Arrest
414,2017-00062600,9/29/2017,1:55,Frat Row,9/29/2017,1:55,DWI/DUI,Arrest
416,2017-00062681,7/24/2017,7:30,7500 block of Baltimore Ave,9/29/2017,10:07,Theft,Active/Pending
418,2017-00062700,9/23/2017,18:00,3800 block of Stadium Dr,9/29/2017,11:55,Assault,Suspended
420,2017-00062710,9/29/2017,4:00,7500 block of Regents Dr,9/29/2017,12:54,Other Incident,CBE
422,2017-00062762,9/29/2017,18:00,7500 block of Yale Ave,9/29/2017,18:09,Injured/Sick Person,CBE
424,2017-00062805,9/29/2017,21:29,University Blvd,9/29/2017,21:29,CDS Violation,Arrest
426,2017-00062913,9/30/2017,2:00,7500 block of Baltimore Ave,9/30/2017,2:22,Check on the Welfare,CBE
428,2017-00062925,9/30/2017,3:20,4400 block of Lehigh Rd,9/30/2017,3:26,Injured/Sick Person,CBE
430,2017-00063050,9/30/2017,4:00,"La Plata Hall, LaPlata hall at 4121 Farm Dr",9/30/2017,22:14,Theft,Suspended
0,2017-00063112,10/1/2017,0:16,Hagerstown Hall at 4000 Stadium Dr,10/1/2017,0:16,Injured/Sick Person,CBE
2,2017-00063120,10/1/2017,1:10,Guilford Rd,10/1/2017,1:10,Injured/Sick Person,CBE
4,2017-00063137,10/1/2017,2:26,Baltimore Ave,10/1/2017,2:26,DWI/DUI,Arrest
6,2017-00063166,10/1/2017,6:10,Baltimore Ave,10/1/2017,6:20,Assist Other Agency,CBE
8,2017-00063207,10/1/2017,14:05,Allegany Hall at 4299 Lehigh Rd,10/1/2017,14:08,Theft (Title IX Related),Arrest
10,2017-00063209,9/29/2017,11:00,Allegany Hall at 4299 Lehigh Rd,10/1/2017,14:23,Theft,Active/Pending
12,2017-00063215,10/1/2017,15:55,7500 block of Rhode Island Ave,10/1/2017,16:07,Assist Other Agency,CBE
14,2017-00063217,10/1/2017,12:00,Neutral Buoyancy Research Facility at 4436 Technology Dr,10/1/2017,16:29,Theft,Active/Pending
16,2017-00063223,10/1/2017,10:30,Bioscience Research Building at 4066 Campus Dr,10/1/2017,17:19,Theft,Active/Pending
